Mean of 10000

Waited 900 usec, resulting in: 979 +- 6.233746 (tics from system timer from bcm2835)
Waited 900 usec, resulting in: 980 +- 5.609004 (useconds measured by linux time)



Mean of 1000
Waited 0 usec, resulting in: 66 +- 3.458752 (tics from system timer from bcm2835)
Waited 0 usec, resulting in: 66 +- 2.466594 (useconds measured by linux time)

Waited 10000 usec, resulting in: 10083 +- 7.756135 (tics from system timer from bcm2835)
Waited 10000 usec, resulting in: 10084 +- 7.475383 (useconds measured by linux time)

Waited 20000 usec, resulting in: 20083 +- 7.865916 (tics from system timer from bcm2835)
Waited 20000 usec, resulting in: 20085 +- 8.390881 (useconds measured by linux time)

Waited 30000 usec, resulting in: 30084 +- 6.778555 (tics from system timer from bcm2835)
Waited 30000 usec, resulting in: 30086 +- 6.384681 (useconds measured by linux time)

Waited 40000 usec, resulting in: 40084 +- 5.487065 (tics from system timer from bcm2835)
Waited 40000 usec, resulting in: 40086 +- 4.052877 (useconds measured by linux time)

Waited 50000 usec, resulting in: 50086 +- 10.409699 (tics from system timer from bcm2835)
Waited 50000 usec, resulting in: 50087 +- 6.902514 (useconds measured by linux time)

Waited 60000 usec, resulting in: 60085 +- 6.383115 (tics from system timer from bcm2835)
Waited 60000 usec, resulting in: 60087 +- 6.251238 (useconds measured by linux time)

Waited 70000 usec, resulting in: 70085 +- 5.727144 (tics from system timer from bcm2835)
Waited 70000 usec, resulting in: 70087 +- 6.555854 (useconds measured by linux time)

Waited 80000 usec, resulting in: 80085 +- 6.100815 (tics from system timer from bcm2835)
Waited 80000 usec, resulting in: 80087 +- 5.323053 (useconds measured by linux time)

Waited 90000 usec, resulting in: 90085 +- 6.351964 (tics from system timer from bcm2835)
Waited 90000 usec, resulting in: 90088 +- 7.650873 (useconds measured by linux time)



